Name	Search Term	KEGG
xylulose NIST	ZAQJHHRNXZUBTE-WVZVXSGGSA-N	Not Found
xylose	PYMYPHUHKUWMLA-VPENINKCSA-N	C01394
valine	KZSNJWFQEVHDMF-BYPYZUCNSA-N	C00183
uridine	DRTQHJPVMGBUCF-XVFCMESISA-N	C00299
uric acid	LEHOTFFKMJEONL-UHFFFAOYSA-N	C00366
urea	XSQUKJJJFZCRTK-UHFFFAOYSA-N	C00086
tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N	C00082
tryptophan	QIVBCDIJIAJPQS-VIFPVBQESA-N	C00078
trans-4-hydroxyproline	PMMYEEVYMWASQN-DMTCNVIQSA-N	C01157
tocopherol gamma-	QUEDXNHFTDJVIY-DQCZWYHMSA-N	C02483
tocopherol alpha-	NCYCYZXNIZJOKI-OVSJKPMPSA-N	C00376
threonine	AYFVYJQAPQTCCC-GBXIJSLDSA-N	C00188
threonic acid 	JPIJQSOTBSSVTP-GBXIJSLDSA-N	Not Found
threitol	UNXHWFMMPAWVPI-QWWZWVQMSA-N	C16884
taurine	XOAAWQZATWQOTB-UHFFFAOYSA-N	C00245
sucrose	CZMRCDWAGMRECN-UGDNZRGBSA-N	C00089
succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N	C00042
stearic acid	QIQXTHQIDYTFRH-UHFFFAOYSA-N	C01530
shikimic acid	JXOHGGNKMLTUBP-HSUXUTPPSA-N	C00493
serine	MTCFGRXMJLQNBG-REOHCLBHSA-N	C00065
pyrophosphate	XPPKVPWEQAFLFU-UHFFFAOYSA-J	C00013
pseudo uridine	PTJWIQPHWPFNBW-GBNDHIKLSA-N	C02067
proline	ONIBWKKTOPOVIA-BYPYZUCNSA-N	C00148
phosphate	NBIIXXVUZAFLBC-UHFFFAOYSA-K	C00009
phenylethylamine	BHHGXPLMPWCGHP-UHFFFAOYSA-N	C05332
phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N	C00079
pelargonic acid	FBUKVWPVBMHYJY-UHFFFAOYSA-N	C01601
parabanic acid NIST	ZFLIKDUSUDBGCD-UHFFFAOYSA-N	Not Found
palmitoleic acid	SECPZKHBENQXJG-FPLPWBNLSA-N	C08362
palmitic acid	IPCSVZSSVZVIGE-UHFFFAOYSA-N	C00249
p-cresol	IWDCLRJOBJJRNH-UHFFFAOYSA-N	C01468
oxoproline	ODHCTXKNWHHXJC-VKHMYHEASA-N	C01879
oxalic acid	MUBZPKHOEPUJKR-UHFFFAOYSA-N	C00209
ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N	C00077
oleic acid	ZQPPMHVWECSIRJ-KTKRTIGZSA-N	C00712
nicotinic acid	PVNIIMVLHYAWGP-UHFFFAOYSA-N	C00253
N-methylalanine	GDFAOVXKHJXLEI-VKHMYHEASA-N	C02721
N-acetylornithine	JRLGPAXAGHMNOL-LURJTMIESA-N	C00437
N-acetylmannosamine	OVRNDRQMDRJTHS-ZTVVOAFPSA-N	C00645
N-acetylglycine NIST	OKJIRPAQVSHGFK-UHFFFAOYSA-N	Not Found
myristic acid	TUNFSRHWOTWDNC-UHFFFAOYSA-N	C06424
myo-inositol	CDAISMWEOUEBRE-UHFFFAOYSA-N	C00137
methionine sulfoxide	QEFRNWWLZKMPFJ-UHFFFAOYSA-N	Not Found
methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N	C00073
methanolphosphate	LBDROUOCQSGOFI-UHFFFAOYSA-N	Not Found
mannose	WQZGKKKJIJFFOK-QTVWNMPRSA-N	C00159
malic acid	BJEPYKJPYRNKOW-UHFFFAOYSA-N	C00711
lyxitol	HEBKCHPVOIAQTA-QWWZWVQMSA-N	C01904
lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N	C00047
linoleic acid	OYHQOLUKZRVURQ-HZJYTTRNSA-N	C01595
leucine	ROHFNLRQFUQHCH-YFKPBYRVSA-N	C00123
lauric acid	POULHZVOKOAJMA-UHFFFAOYSA-N	C02679
lactic acid	JVTAAEKCZFNVCJ-UHFFFAOYSA-N	C01432
isothreonic acid	PXGPLTODNUVGFL-YNNPMVKQSA-N	C00639
isoleucine	AGPKZVBTJJNPAG-WHFBIAKZSA-N	C00407
