GeneID,0h,1.5h,3h,6h,9h,12h
HIST1H1E,93.13843536,96.46079336,122.3481124,78.32267741,33.24563899,6.943030959
HIST1H3D,65.68822435,37.97211091,57.15993474,81.90714155,23.62477253,5.118394012
HIST1H4C,46.73111648,29.40695224,30.09363377,36.60052982,20.23400108,4.816513644
HIST1H1C,42.21839482,43.04792059,61.07338811,52.39589422,36.14918826,15.92812704
C17orf49,5.546184274,5.568002724,7.166548977,3.348948479,5.694296911,3.070585581
ROMO1,5.394880942,5.852770046,7.449394498,4.291037953,6.722480622,2.672221667
C15orf63,5.169835085,5.777685265,6.134295168,5.483225439,6.022349107,2.923144044
NDUFA1,5.008751719,5.439995454,7.293552656,5.438731927,4.461979013,2.033297494
NDUFA3,4.909206778,5.33385663,6.162685604,4.227592843,4.345645388,2.077451136
C19orf79,4.830830021,5.456819368,6.250690625,5.195122264,6.011908009,3.585832587
SNRPF,4.557949723,4.117056328,4.326709017,4.880927397,4.180975882,3.500501548
IFI27L2,4.536654102,6.51128436,4.754931687,2.845223668,4.316716253,4.763760787
RNASEK,4.195904469,4.268543627,5.829096735,4.796130352,5.907207418,4.874561772
UBL5,4.153358229,5.303438171,5.75060893,4.809309618,6.211367923,3.155970425
C4orf3,4.121054283,4.716886066,5.194551743,2.5941862,2.657826031,1.585135075
MRPL53,4.012208213,4.554551392,5.063506107,3.482513099,3.991985189,1.675705518
SLIRP,4.007565411,4.597198028,4.633271955,3.198133112,3.788770643,3.969800654
SFT2D2,3.90904304,2.983764426,3.919915368,2.598534807,1.429394836,1.614914305
ATPIF1,3.856757666,5.205609452,5.286392103,3.776971341,3.365673353,1.407921446
SHFM1,3.794248229,6.020759717,3.771867882,2.969936514,2.929084424,2.163316244
COX7A2,3.789945044,2.446062845,3.487552308,3.612359241,5.381753438,3.481260095
NDUFB3,3.780545086,3.97888432,2.996627889,3.26154827,4.32053361,2.839229377
TCEB2,3.748363952,3.229533081,4.144700421,3.997298276,4.227029682,3.072293328
LSMD1,3.724019131,4.010205652,5.042895038,5.912133554,6.394018267,3.753107207
BLVRB,3.669849224,3.891771813,2.973436018,2.606583785,3.114244184,1.83793324
DPY30,3.637604007,2.231677912,2.466577108,2.293633202,1.877361158,1.257461721
RPA3,3.585395491,2.729676831,3.365307925,4.103112028,4.073956136,2.15922608
FAM36A,3.543952955,1.990198168,3.433035315,1.673977721,1.614429767,2.196059937
DPM3,3.492701386,3.287006277,3.844251775,3.25624432,5.521521582,2.092608097
ATP5J,3.481580342,2.077392584,2.553286885,3.814570637,4.073956136,3.775421196
KRTCAP2,3.44179802,3.451180091,3.227297828,3.881330694,4.798032848,3.503872387
MRPL40,3.418445585,2.26647979,3.257522261,2.551419187,2.942375788,1.564089392
PFN1,3.371754379,2.958089223,2.658175495,3.012582056,4.217724242,3.196122301
COX8A,3.357339243,4.321669682,4.703241665,3.632921381,4.171355374,3.512702206
RBM8A,3.354522832,3.673690691,3.813163358,3.664183968,3.87574481,1.932632218
LAGE3,3.327785195,3.970718347,3.462229944,2.954730271,3.058777467,3.79221001
TIMM10,3.304491199,6.263638123,4.949592129,3.50450073,5.564139761,8.406877093
PSENEN,3.301003418,2.630367787,4.312008952,4.187945239,4.654638334,4.226761083
LDOC1,3.266305838,1.11244956,2.032471155,1.753775387,1.714769187,1.982889284
HINT2,3.262003126,6.799946227,4.591928971,2.68340672,3.025251216,5.169187237
NDUFA12,3.250810233,1.244289644,1.774000977,2.664976078,2.404301982,2.757357513
SNRPD1,3.229227737,3.168182409,3.385822536,3.26883283,2.399375945,1.238588121
SOD1,3.226109808,3.783303638,2.976804511,2.801613936,3.359463997,2.137125384
CHMP2A,3.204059375,4.620847193,4.833995716,3.468700403,4.804293411,2.707669505
OST4,3.177505142,2.842845504,3.085426746,3.815531697,4.100644351,2.402564058
FAM162A,3.176335491,2.637824037,2.689452984,2.188612763,1.364535569,2.433447793
TIMM8B,3.152185257,4.38144123,4.421987156,3.255309897,4.905961263,3.050083246
CHCHD1,3.121328139,4.308887035,4.159002353,2.493411094,2.923741453,1.773351484
PFDN2,3.116569161,2.986927687,2.746091267,3.016441971,2.462336012,1.870885461
H2AFX,3.092862224,4.048977167,4.282732314,2.969228126,1.542193533,1.178595481
NDUFB8,3.071719035,3.117964807,2.73835465,2.53548748,3.909467766,1.146032712
COX6A1,3.062979587,3.821305384,3.817550418,3.57005168,3.929930034,1.789218386
ATL3,3.044057062,2.500782363,2.269672015,2.57738203,1.87287223,1.148708275
PSMB6,3.036447835,3.175596154,2.866573998,3.009181578,4.421970471,2.373067316
ATP6V1F,3.031908925,2.647000353,3.543364448,2.547798361,3.086843035,2.105562962
KRT10,3.02578086,2.267879396,4.262178661,3.417974235,3.50537583,3.183167507
ARHGDIA,3.014840279,2.915909002,4.194728766,3.338033858,4.276384765,1.338300903
PAIP2,3.007557197,2.663542112,3.01386662,2.626864594,2.315729892,2.878342245
CD74,3.005382676,2.786514819,3.116668593,2.599864854,3.168061013,2.727690412
DPYSL2,2.984640857,2.929963074,2.623878897,1.263395602,1.696103964,1.15616742
SYF2,2.978696837,2.393395633,2.172968049,1.974123065,1.825219785,1.059670843
HDDC3,2.977531044,1.137965889,2.039904717,2.466557444,1.874402354,1.137144097
CXorf26,2.976058136,5.25217047,4.240395358,2.648722553,3.361240312,1.566420375
HINT1,2.96548006,2.804565459,2.943162924,2.226963767,2.834133651,2.195737679
C17orf61,2.954472805,2.569902601,3.783581756,2.314055237,4.863708966,9.062031948
PCP4,2.95110108,3.284204189,1.699539304,1.459541918,1.980912687,1.012677032
PKM2,2.945566929,3.321786295,3.191923826,2.709150031,2.215754181,1.067417411
NEDD8-MDP1,2.939143283,3.921369001,3.664712546,3.323766063,3.384402264,2.791503804
SAP18,2.935344757,2.262888271,2.368585729,2.576604463,2.487686073,1.870646045
COX6B1,2.9293136,2.925470473,3.908204798,3.602243656,4.367574598,2.593641204
PSME2,2.912718514,3.066137382,2.698829896,3.300138544,3.65508459,1.817218828
REEP5,2.912556315,3.083397617,3.459580008,3.308381224,2.423717003,4.464943822
DRAP1,2.911272595,3.81580789,3.361596455,3.23157246,3.352968185,0.647034754
FKBP2,2.904383256,3.015691022,4.359983027,4.611003302,5.398817315,0.800329536
DPCD,2.890749743,3.9821789,2.42581445,1.512134565,1.807459413,0.96783432
TXN,2.889608089,2.92868976,2.954202436,3.367546402,3.613868282,2.613262319
HLA-A,2.865255223,1.783532208,2.260476897,2.780459605,4.317819708,2.401844574
RNASEH2C,2.855679109,3.538145087,3.332740359,2.257577322,3.796965098,1.860407967
PSMB3,2.84835964,2.976549375,3.392804993,3.021320069,3.873383015,2.362808523
SUMO2,2.846104959,3.267105218,3.085923196,2.436946668,2.878254144,2.02293239
P4HA2,2.823424838,4.172410753,1.106260325,1.169556198,1.731186955,1.291323073
TMEM205,2.80593471,3.36085407,3.130658958,2.92714311,3.683124841,3.043390449
PRDX5,2.80331479,3.238461061,3.660989275,3.239706285,4.731265751,2.737016066
DYNLRB1,2.80157144,2.494549451,2.570544791,2.516286425,2.563063992,2.784482824
NDUFA2,2.794997144,4.145850438,3.86804362,3.474140398,5.00582231,3.338912052
C6orf108,2.787657277,4.63356471,4.497570651,2.665308293,4.679506571,1.691487971
C19orf24,2.784022026,3.712577115,4.604474282,2.277679125,3.938642899,2.453312673
KLHL11,2.777543329,1.446174994,1.929306339,2.165298521,1.821804329,1.7672435
SNRPD3,2.773964775,1.855842564,2.055237458,3.214451736,3.546322085,2.836641994
COX17,2.768808428,3.301479172,2.654752394,3.205745707,3.410797726,2.361339684
GNG5,2.760535791,1.585844323,2.743176641,2.676569358,2.790463655,1.570747502
PPIB,2.744230306,3.012445086,3.54884539,3.775898097,5.058116301,2.849872654
ATP5H,2.725731461,3.819405461,4.593615379,3.27589866,3.415099191,2.174271943
TOMM5,2.718746198,4.232823087,4.449807503,2.241695966,2.335689848,1.91728043
COX5B,2.71667425,2.641449894,3.850412922,3.325654058,3.919012943,2.811673841
DBI,2.711839761,2.966615736,2.896011004,2.549944402,2.504248113,1.569401598
PDE6D,2.7067808,1.170208264,1.28248908,1.16386622,0.814750388,1.673832057
MFAP1,2.704982201,2.014202016,1.780273794,1.997987826,2.570608943,1.456252512
MRPS17,2.700750603,1.144038129,2.763639853,3.291414552,2.903549258,4.930776085
SRSF9,2.697856149,5.129858858,4.45318704,2.816738537,3.828788482,1.353272762
HSD17B10,2.680689492,3.014202672,2.635894493,2.497159894,3.428232877,1.268512205
C3orf78,2.666870528,2.793390243,3.729345923,3.575590221,2.428203049,0.896078823
EDF1,2.662189138,2.536940285,3.454584938,3.459386486,3.54805492,1.595120459
MEA1,2.659196966,2.709915287,2.664563141,3.13888039,3.209559264,1.254820623
NAPA,2.651247273,2.535729601,4.335716249,1.867926447,1.405801766,1.085592435
PRDX2,2.649592524,3.56095968,3.454213821,2.947890558,3.870519147,2.401588623
SSR4,2.649210188,2.311534262,2.630972098,2.619768399,3.632382201,4.402813614
PSME1,2.644407123,2.65583718,3.43982084,2.783342617,2.920527639,3.333305262
GEMIN6,2.642588371,1.993258615,2.980940182,2.199551071,1.836149245,6.844386801
MRPS18C,2.634984907,1.494962636,3.447113503,4.235314474,2.990443797,6.170041969
SSSCA1,2.631841002,4.020457777,3.708816278,3.155477777,3.459438445,2.262607209
ATP5I,2.608830216,2.838439944,1.67666587,3.274561291,3.925290642,2.234798994
NFU1,2.608747174,0.907211094,1.357300942,1.571435791,1.46787613,2.349630563
OCIAD2,2.608487984,3.31880013,2.47010794,2.214266928,2.51472614,1.235951941
MINOS1,2.607460969,2.63353043,2.692768626,2.482116888,1.667082681,0.975477012
CCDC167,2.603946871,4.368209154,2.535553675,2.113646833,2.649531147,2.524938478
MRPS36,2.601994593,1.117043304,0.921413439,2.456411398,1.70384709,1.735348063
HNRNPAB,2.596932347,4.135318743,4.690455465,3.083196806,2.941664103,1.394921647
RPL36AL,2.595314721,2.705763889,2.432565325,2.835907103,3.107934125,1.167726624
H2AFZ,2.585015477,2.741719788,3.322546599,2.588364022,2.736491641,1.965939719
TMEM107,2.583867774,2.735563836,2.598157836,4.084188533,12.05533394,3.658635855
DHRS7,2.566699303,2.647864009,3.390095841,2.821703009,3.351506135,1.52625575
CLU,2.565181041,3.6057906,2.35570294,1.651781019,2.558310709,2.205119746
RPS27L,2.564103281,2.740935531,2.000573723,2.913367645,3.06198752,2.647413602
PNKD,2.555807335,2.70365523,3.036067897,1.891980513,2.196160362,2.40909652
POMP,2.554625625,2.3074645,2.183180578,2.829795217,3.200546836,2.724769628
AP2S1,2.552515779,3.173056589,2.947135706,2.118494522,2.988678408,1.844945703
NDUFB11,2.53903189,3.131506315,4.02026802,3.08931347,4.101244666,2.901149415
COX7C,2.519189412,2.519255806,2.30289679,2.917683745,2.888731293,2.260141281
CYBA,2.518339986,4.090203416,3.848407408,2.865558198,4.418839025,3.082236074
KBTBD4,2.51759376,2.54499907,2.547235453,1.935604942,2.68380337,3.819996858
TMEM85,2.516828257,2.609039991,2.737654141,2.70489722,3.430687425,2.512799351
ATP5G1,2.515207165,2.156143739,2.436626652,2.581009284,3.490818622,1.445089737
NDUFA4,2.515130078,2.064294968,2.093445451,2.799315844,3.844909095,3.939843036
MYL6,2.511760419,2.507631294,2.768893923,3.182039878,3.539608017,1.92585807
NDUFB6,2.510330097,2.919303271,3.348658106,2.93406441,2.754223867,2.832160058
EMP3,2.500776795,2.461782901,2.653794802,3.690301354,5.688783819,4.523810812
LGALS1,2.500744027,2.927308316,2.925067752,2.71877644,3.55714615,2.387207077
UQCRQ,2.496181696,2.786087923,3.12334042,3.149232579,4.198066224,2.224116109
PDCD5,2.49485364,3.757979477,3.524618138,2.459098097,2.899274996,2.683897837
IFI30,2.493257769,2.212533216,1.920145003,3.563735798,1.856843549,0.969688804
AHSA1,2.49300855,2.992113293,1.786101204,2.26116121,2.835583093,2.107169267
UFC1,2.489960937,2.473657494,2.859075329,2.007656904,1.952948739,0.997562449
RAB8A,2.489727624,2.172928931,2.332944986,4.226875347,2.911508223,1.242282824
GADD45GIP1,2.487086492,4.374652266,3.880562927,2.177100481,3.582601543,1.221883201
